Inbred line,Accesion N,N GBS samples,N Plants,Avg. IBS,% missing,Breeding program,Pop structure,Complete_name,Kernel color,S6_82170011,S6_82170814,S6_82170859,S6_82170897,S6_82170900,S6_82170957,S6_82171038,S6_82174349,S6_82174376,S6_82174378,S6_82176123,S6_82185767,S6_82185973,S6_82186654,S6_82186661,S6_82217770,S6_82217918,S6_82218018,S6_82218044,S6_82218219,S6_82243856,S6_82243861,S6_82243874,S6_82243883
42,PI233312,1,1,,0.47,Other,sweet corn,PI233312:81N4HABXX:6:G8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66,Ames26770,1,1,,0.56,Other,unclassified,Ames26770:81FE7ABXX:1:E8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90,NSL30903,1,1,,0.52,Other,unclassified,NSL30903:81FENABXX:2:A6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
176,PI233313,1,1,,0.67,Other,sweet corn,PI233313:81FENABXX:6:D11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
207,PI601005,2,2,0.996,0.5,ExPVP,non-stiff stalk,PI601005:81FE8ABXX:3:E9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
226,PI233314,6,1,0.994,0.32,Other,sweet corn,PI233314:81FENABXX:6:H5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245,NSL8579,1,1,,0.6,Other,sweet corn,NSL8579:81FE7ABXX:6:C7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
277,PI233315,1,1,,0.58,Other,sweet corn,PI233315:81FENABXX:2:C10,1,0.945,0.945,0.945,0.945,0.945,0.945,1,1,1,1,0.945,1,0.945,0.945,0.945,1,0.5,1,1,0.945,0.945,0.945,0.945,0.945
469,PI233316,1,1,,0.6,Other,sweet corn,PI233316:81FENABXX:6:C10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
592,PI233317,1,1,,0.62,Other,sweet corn,PI233317:81N4HABXX:5:G1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
764,PI601374,1,1,,0.59,ExPVP,unclassified,PI601374:81FE8ABXX:5:C5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
778,PI601375,1,1,,0.57,ExPVP,unclassified,PI601375:81FE8ABXX:1:D9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
779,PI601376,2,2,0.968,0.53,ExPVP,unclassified,PI601376:81FE8ABXX:5:H4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
787,PI601490,2,2,0.995,0.48,ExPVP,unclassified,PI601490:81N4HABXX:1:G12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
789,PI233318,1,1,,0.57,Other,sweet corn,PI233318:81FE8ABXX:4:C1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
790,PI601491,1,1,,0.59,ExPVP,unclassified,PI601491:81N4HABXX:6:C8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
792,NSL243016,1,1,,0.4,Other,unclassified,NSL243016:81N4HABXX:6:E9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
793,PI601492,1,1,,0.56,ExPVP,unclassified,PI601492:81FE8ABXX:5:G9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
794,PI601377,1,1,,0.47,ExPVP,unclassified,PI601377:81FENABXX:1:H6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
807,PI601430,6,1,0.995,0.25,ExPVP,unclassified,PI601430:81FE8ABXX:3:A12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
829,PI233319,1,1,,0.59,Other,sweet corn,PI233319:81FENABXX:6:B8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
883,PI233320,2,2,0.989,0.49,Other,sweet corn,PI233320:81FE8ABXX:5:A9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
884,PI233323,1,1,,0.53,Other,sweet corn,PI233323:81FENABXX:3:D7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
908,PI233321,1,1,,0.67,Other,sweet corn,PI233321:81FE8ABXX:4:E7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
909,PI233322,1,1,,0.53,Other,sweet corn,PI233322:81FE8ABXX:6:A9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2369,PI601559,1,1,,0.49,ExPVP,unclassified,PI601559:81FE8ABXX:1:B6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5261,NSL15405,1,1,,0.6,Other,sweet corn,NSL15405:81FE7ABXX:4:F8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
